loss,val_loss,accuracy,val_accuracy
3.0528,2.4321,0.3358,0.3644
2.3937,2.3186,0.3652,0.3646
2.2554,2.1632,0.3844,0.4061
2.1085,2.0184,0.4322,0.4589
1.9665,1.8718,0.4684,0.4972
1.8314,1.7485,0.5014,0.5158
1.721,1.652,0.5181,0.5357
1.6372,1.5746,0.5353,0.5464
1.5709,1.5178,0.547,0.5557
1.5182,1.4683,0.5557,0.5668
1.4765,1.4299,0.5643,0.5718
1.4422,1.3966,0.5694,0.5782
1.4102,1.3668,0.5772,0.5888
1.3861,1.3487,0.5835,0.5894
1.3625,1.323,0.5882,0.5982
1.3403,1.3035,0.5941,0.6028
1.3217,1.2873,0.5974,0.6048
1.3075,1.2724,0.6009,0.6066
1.289,1.2572,0.6041,0.6089
1.2771,1.246,0.6072,0.6134
1.2618,1.2321,0.6117,0.6145
1.2483,1.2192,0.6149,0.6183
1.2361,1.2105,0.6167,0.6199
1.229,1.198,0.6195,0.6247
1.2168,1.1911,0.622,0.6259
1.2044,1.1846,0.6258,0.6281
1.1962,1.1784,0.6276,0.6304
1.1901,1.167,0.6285,0.6337
1.1777,1.1583,0.6315,0.6361
1.1686,1.1558,0.6345,0.6401
